,strike,spot,sprice,eprice,endethprice,difethprice,intvalue,buyerprofit,lpprofitwopp,extprem,ethprofit,intpos,trueprofit,sdate,edate
0,45.0,187.81,145.15101926145795,169.73,214.73,26.919999999999987,142.81,24.578980738542043,-24.578980738542043,2.3410192614579444,53.839999999999975,142.81,2.3410192614579444,2020-04-18,2020-05-18
1,50.0,187.81,140.4111358576319,164.73,214.73,26.919999999999987,137.81,24.318864142368085,-24.318864142368085,2.6011358576319026,53.839999999999975,137.81,2.6011358576319026,2020-04-18,2020-05-18
2,55.0,187.81,135.671267051028,159.73,214.73,26.919999999999987,132.81,24.058732948971993,-24.058732948971993,2.861267051027994,53.839999999999975,132.81,2.861267051027994,2020-04-18,2020-05-18
3,60.0,187.81,130.93145474939502,154.73,214.73,26.919999999999987,127.81,23.798545250604974,-23.798545250604974,3.1214547493950136,53.839999999999975,127.81,3.1214547493950136,2020-04-18,2020-05-18
4,65.0,187.81,126.19182094786919,149.73,214.73,26.919999999999987,122.81,23.5381790521308,-23.5381790521308,3.381820947869187,53.839999999999975,122.81,3.381820947869187,2020-04-18,2020-05-18
5,70.0,187.81,121.45266470231283,144.73,214.73,26.919999999999987,117.81,23.27733529768716,-23.27733529768716,3.6426647023128282,53.839999999999975,117.81,3.6426647023128282,2020-04-18,2020-05-18
6,75.0,187.81,116.71462189354855,139.73,214.73,26.919999999999987,112.81,23.015378106451436,-23.015378106451436,3.9046218935485513,53.839999999999975,112.81,3.9046218935485513,2020-04-18,2020-05-18
7,80.0,187.81,111.97889274302825,134.73,214.73,26.919999999999987,107.81,22.751107256971736,-22.751107256971736,4.168892743028252,53.839999999999975,107.81,4.168892743028252,2020-04-18,2020-05-18
8,85.0,187.81,107.24752538820726,129.73,214.73,26.919999999999987,102.81,22.482474611792725,-22.482474611792725,4.437525388207263,53.839999999999975,102.81,4.437525388207263,2020-04-18,2020-05-18
9,90.0,187.81,102.52372626432057,124.72999999999999,214.73,26.919999999999987,97.81,22.206273735679417,-22.206273735679417,4.71372626432057,53.839999999999975,97.81,4.71372626432057,2020-04-18,2020-05-18
10,95.0,187.81,97.8121552283041,119.72999999999999,214.73,26.919999999999987,92.81,21.917844771695883,-21.917844771695883,5.002155228304105,53.839999999999975,92.81,5.002155228304105,2020-04-18,2020-05-18
11,100.0,187.81,93.1191592165378,114.72999999999999,214.73,26.919999999999987,87.81,21.610840783462194,-21.610840783462194,5.309159216537793,53.839999999999975,87.81,5.309159216537793,2020-04-18,2020-05-18
12,105.0,187.81,88.45290371069972,109.72999999999999,214.73,26.919999999999987,82.81,21.277096289300275,-21.277096289300275,5.642903710699713,53.839999999999975,82.81,5.642903710699713,2020-04-18,2020-05-18
13,110.0,187.81,83.82337456757887,104.72999999999999,214.73,26.919999999999987,77.81,20.906625432421123,-20.906625432421123,6.013374567578865,53.839999999999975,77.81,6.013374567578865,2020-04-18,2020-05-18
14,115.0,187.81,79.2422403183492,99.72999999999999,214.73,26.919999999999987,72.81,20.487759681650786,-20.487759681650786,6.432240318349201,53.839999999999975,72.81,6.432240318349201,2020-04-18,2020-05-18
15,120.0,187.81,74.72258295301648,94.72999999999999,214.73,26.919999999999987,67.81,20.007417046983505,-20.007417046983505,6.912582953016482,53.839999999999975,67.81,6.912582953016482,2020-04-18,2020-05-18
16,125.0,187.81,70.27852024751117,89.72999999999999,214.73,26.919999999999987,62.81,19.451479752488822,-19.451479752488822,7.468520247511165,53.839999999999975,62.81,7.468520247511165,2020-04-18,2020-05-18
17,130.0,187.81,65.92475287388507,84.72999999999999,214.73,26.919999999999987,57.81,18.80524712611492,-18.80524712611492,8.114752873885067,53.839999999999975,57.81,8.114752873885067,2020-04-18,2020-05-18
18,135.0,187.81,61.6760741913445,79.72999999999999,214.73,26.919999999999987,52.81,18.053925808655492,-18.053925808655492,8.866074191344495,53.839999999999975,52.81,8.866074191344495,2020-04-18,2020-05-18
19,140.0,187.81,57.54688016337347,74.72999999999999,214.73,26.919999999999987,47.81,17.183119836626517,-17.183119836626517,9.73688016337347,53.839999999999975,47.81,9.73688016337347,2020-04-18,2020-05-18
20,145.0,187.81,53.55071239425287,69.72999999999999,214.73,26.919999999999987,42.81,16.17928760574712,-16.17928760574712,10.740712394252867,53.839999999999975,42.81,10.740712394252867,2020-04-18,2020-05-18
21,150.0,187.81,49.69986023690345,64.72999999999999,214.73,26.919999999999987,37.81,15.030139763096543,-15.030139763096543,11.889860236903445,53.839999999999975,37.81,11.889860236903445,2020-04-18,2020-05-18
22,155.0,187.81,46.005039687294854,59.72999999999999,214.73,26.919999999999987,32.81,13.724960312705136,-13.724960312705136,13.195039687294852,53.839999999999975,32.81,13.195039687294852,2020-04-18,2020-05-18
23,160.0,187.81,42.475158522200815,54.72999999999999,214.73,26.919999999999987,27.810000000000002,12.254841477799175,-12.254841477799175,14.665158522200812,53.839999999999975,27.810000000000002,14.665158522200812,2020-04-18,2020-05-18
24,165.0,187.81,39.11716971193533,49.72999999999999,214.73,26.919999999999987,22.810000000000002,10.612830288064657,-10.612830288064657,16.30716971193533,53.839999999999975,22.810000000000002,16.30716971193533,2020-04-18,2020-05-18
25,170.0,187.81,35.93600906964129,44.72999999999999,214.73,26.919999999999987,17.810000000000002,8.793990930358703,-8.793990930358703,18.126009069641285,53.839999999999975,17.810000000000002,18.126009069641285,2020-04-18,2020-05-18
