,sdate,edate,strike,spot,soptprice,eoptprice,endethprice,buyerprofit,oppcost,truelpprofit
0,2020-09-12,2020-09-19,100.0,387.88,289.15671150675314,285.36,385.36,-3.7967115067531267,0.0,1.276711506753145
1,2020-09-12,2020-09-19,110.0,387.88,279.28438265742847,275.36,385.36,-3.9243826574284526,0.0,1.4043826574284708
2,2020-09-12,2020-09-19,120.0,387.88,269.4120538081038,265.36,385.36,-4.0520538081037785,0.0,1.5320538081037967
3,2020-09-12,2020-09-19,130.0,387.88,259.5397249587791,255.36,385.36,-4.179724958779104,0.0,1.6597249587791225
4,2020-09-12,2020-09-19,140.0,387.88,249.66739610945444,245.36,385.36,-4.30739610945443,0.0,1.7873961094544484
5,2020-09-12,2020-09-19,150.0,387.88,239.79506726012977,235.36,385.36,-4.435067260129756,0.0,1.9150672601297742
6,2020-09-12,2020-09-19,160.0,387.88,229.9227384108054,225.36,385.36,-4.5627384108053946,0.0,2.0427384108054127
7,2020-09-12,2020-09-19,170.0,387.88,220.05040956149332,215.36,385.36,-4.690409561493311,0.0,2.1704095614933294
8,2020-09-12,2020-09-19,180.0,387.88,210.17808071249956,205.36,385.36,-4.818080712499551,0.0,2.2980807124995692
9,2020-09-12,2020-09-19,190.0,387.88,200.3057518691392,195.36,385.36,-4.945751869139173,0.0,2.425751869139191
10,2020-09-12,2020-09-19,200.0,387.88,190.4334230972617,185.36,385.36,-5.073423097261696,0.0,2.553423097261714
11,2020-09-12,2020-09-19,210.0,387.88,180.5610950025523,175.36,385.36,-5.201095002552279,0.0,2.681095002552297
12,2020-09-12,2020-09-19,220.0,387.88,170.68877186264163,165.36,385.36,-5.3287718626416165,0.0,2.8087718626416347
13,2020-09-12,2020-09-19,230.0,387.88,160.81647754813542,155.36,385.36,-5.45647754813541,0.0,2.9364775481354286
14,2020-09-12,2020-09-19,240.0,387.88,150.94431992550594,145.36,385.36,-5.584319925505923,0.0,3.0643199255059415
