,sdate,edate,strike,spot,soptprice,eoptprice,endethprice,buyerprofit,oppcost,truelpprofit
0,2022-02-12,2022-02-19,1200.0,2918.34,1761.7226829732365,1564.5,2764.5,-197.2226829732365,0.0,43.38268297323634
1,2022-02-12,2022-02-19,1260.0,2918.34,1703.8918171218986,1504.5,2764.5,-199.3918171218986,0.0,45.551817121898466
2,2022-02-12,2022-02-19,1320.0,2918.34,1646.0609512705657,1444.5,2764.5,-201.56095127056574,0.0,47.72095127056559
3,2022-02-12,2022-02-19,1380.0,2918.34,1588.2300854193174,1384.5,2764.5,-203.73008541931745,0.0,49.8900854193173
4,2022-02-12,2022-02-19,1440.0,2918.34,1530.3992195691967,1324.5,2764.5,-205.8992195691967,0.0,52.05921956919656
5,2022-02-12,2022-02-19,1500.0,2918.34,1472.5683537308255,1264.5,2764.5,-208.0683537308255,0.0,54.22835373082535
6,2022-02-12,2022-02-19,1560.0,2918.34,1414.737487991264,1204.5,2764.5,-210.23748799126406,0.0,56.397487991263915
7,2022-02-12,2022-02-19,1620.0,2918.34,1356.9066229357552,1144.5,2764.5,-212.4066229357552,0.0,58.56662293575505
8,2022-02-12,2022-02-19,1680.0,2918.34,1299.0757618492357,1084.5,2764.5,-214.57576184923573,0.0,60.73576184923559
9,2022-02-12,2022-02-19,1740.0,2918.34,1241.2449203709464,1024.5,2764.5,-216.74492037094637,0.0,62.90492037094623
10,2022-02-12,2022-02-19,1800.0,2918.34,1183.4141625394295,964.5,2764.5,-218.91416253942953,0.0,65.07416253942938
11,2022-02-12,2022-02-19,1860.0,2918.34,1125.5837166860194,904.5,2764.5,-221.08371668601944,0.0,67.2437166860193
12,2022-02-12,2022-02-19,1920.0,2918.34,1067.754299544207,844.5,2764.5,-223.25429954420702,0.0,69.41429954420687
13,2022-02-12,2022-02-19,1980.0,2918.34,1009.9279112923766,784.5,2764.5,-225.42791129237662,0.0,71.58791129237648
14,2022-02-12,2022-02-19,2040.0,2918.34,952.1095579187504,724.5,2764.5,-227.6095579187504,0.0,73.76955791875025
15,2022-02-12,2022-02-19,2100.0,2918.34,894.3105634671836,664.5,2764.5,-229.81056346718356,0.0,75.97056346718341
16,2022-02-12,2022-02-19,2160.0,2918.34,836.5542417468923,604.5,2764.5,-232.05424174689233,0.0,78.21424174689218
17,2022-02-12,2022-02-19,2220.0,2918.34,778.8845462866284,544.5,2764.5,-234.3845462866284,0.0,80.54454628662825
18,2022-02-12,2022-02-19,2280.0,2918.34,721.3777716213776,484.5,2764.5,-236.87777162137763,0.0,83.03777162137749
19,2022-02-12,2022-02-19,2340.0,2918.34,664.1564236058894,424.5,2764.5,-239.65642360588936,0.0,85.81642360588921
20,2022-02-12,2022-02-19,2400.0,2918.34,607.4031962266945,364.5,2764.5,-242.9031962266945,0.0,89.06319622669434
21,2022-02-12,2022-02-19,2460.0,2918.34,551.3719635380794,304.5,2764.5,-246.8719635380794,0.0,93.03196353807925
22,2022-02-12,2022-02-19,2520.0,2918.34,496.39226631089105,244.5,2764.5,-251.89226631089105,0.0,98.0522663108909
23,2022-02-12,2022-02-19,2580.0,2918.34,442.8642746795804,184.5,2764.5,-258.3642746795804,0.0,104.52427467958023
24,2022-02-12,2022-02-19,2640.0,2918.34,391.24268403528185,124.5,2764.5,-266.74268403528185,0.0,112.90268403528171
25,2022-02-12,2022-02-19,2700.0,2918.34,342.01014800019084,64.5,2764.5,-277.51014800019084,0.0,123.6701480001907
26,2022-02-12,2022-02-19,2760.0,2918.34,295.6431060006935,4.5,2764.5,-291.1431060006935,0.0,137.30310600069333
27,2022-02-12,2022-02-19,2820.0,2918.34,252.57459760224765,0.0,2764.5,-252.57459760224765,0.0,197.07459760224765
28,2022-02-12,2022-02-19,2880.0,2918.34,213.15940139288364,0.0,2764.5,-213.15940139288364,0.0,97.65940139288341
29,2022-02-12,2022-02-19,2940.0,2918.34,177.64642749497602,0.0,2764.5,-177.64642749497602,0.0,177.64642749497602
30,2022-02-12,2022-02-19,3000.0,2918.34,146.16189632758324,0.0,2764.5,-146.16189632758324,0.0,146.16189632758324
31,2022-02-12,2022-02-19,3060.0,2918.34,118.70486262395002,0.0,2764.5,-118.70486262395002,0.0,118.70486262395002
32,2022-02-12,2022-02-19,3120.0,2918.34,95.15459485192014,0.0,2764.5,-95.15459485192014,0.0,95.15459485192014
33,2022-02-12,2022-02-19,3180.0,2918.34,75.28763630306435,0.0,2764.5,-75.28763630306435,0.0,75.28763630306435
34,2022-02-12,2022-02-19,3240.0,2918.34,58.801330287846554,0.0,2764.5,-58.801330287846554,0.0,58.801330287846554
35,2022-02-12,2022-02-19,3300.0,2918.34,45.34026470486697,0.0,2764.5,-45.34026470486697,0.0,45.34026470486697
36,2022-02-12,2022-02-19,3360.0,2918.34,34.52238747838271,0.0,2764.5,-34.52238747838271,0.0,34.52238747838271
37,2022-02-12,2022-02-19,3420.0,2918.34,25.962265959266688,0.0,2764.5,-25.962265959266688,0.0,25.962265959266688
38,2022-02-12,2022-02-19,3480.0,2918.34,19.289880401597088,0.0,2764.5,-19.289880401597088,0.0,19.289880401597088
39,2022-02-12,2022-02-19,3540.0,2918.34,14.164250857196066,0.0,2764.5,-14.164250857196066,0.0,14.164250857196066
40,2022-02-12,2022-02-19,3600.0,2918.34,10.281955873265332,0.0,2764.5,-10.281955873265332,0.0,10.281955873265332
41,2022-02-12,2022-02-19,3660.0,2918.34,7.381137906280941,0.0,2764.5,-7.381137906280941,0.0,7.381137906280941
42,2022-02-12,2022-02-19,3720.0,2918.34,5.24189306831606,0.0,2764.5,-5.24189306831606,0.0,5.24189306831606
43,2022-02-12,2022-02-19,3780.0,2918.34,3.6840427510396125,0.0,2764.5,-3.6840427510396125,0.0,3.6840427510396125
44,2022-02-12,2022-02-19,3840.0,2918.34,2.56323474271435,0.0,2764.5,-2.56323474271435,0.0,2.56323474271435
45,2022-02-12,2022-02-19,3900.0,2918.34,1.7661792654469153,0.0,2764.5,-1.7661792654469153,0.0,1.7661792654469153
46,2022-02-12,2022-02-19,3960.0,2918.34,1.2056416654827373,0.0,2764.5,-1.2056416654827373,0.0,1.2056416654827373
47,2022-02-12,2022-02-19,4020.0,2918.34,0.8156264064245882,0.0,2764.5,-0.8156264064245882,0.0,0.8156264064245882
48,2022-02-12,2022-02-19,4080.0,2918.34,0.5470208024730656,0.0,2764.5,-0.5470208024730656,0.0,0.5470208024730656
49,2022-02-12,2022-02-19,4140.0,2918.34,0.3638336679224814,0.0,2764.5,-0.3638336679224814,0.0,0.3638336679224814
50,2022-02-12,2022-02-19,4200.0,2918.34,0.24006670721540857,0.0,2764.5,-0.24006670721540857,0.0,0.24006670721540857
51,2022-02-12,2022-02-19,4260.0,2918.34,0.1571921398181706,0.0,2764.5,-0.1571921398181706,0.0,0.1571921398181706
52,2022-02-12,2022-02-19,4320.0,2918.34,0.1021728436669016,0.0,2764.5,-0.1021728436669016,0.0,0.1021728436669016
53,2022-02-12,2022-02-19,4380.0,2918.34,0.06594437879635207,0.0,2764.5,-0.06594437879635207,0.0,0.06594437879635207
54,2022-02-12,2022-02-19,4440.0,2918.34,0.04227518159846122,0.0,2764.5,-0.04227518159846122,0.0,0.04227518159846122
55,2022-02-12,2022-02-19,4500.0,2918.34,0.026926640360232512,0.0,2764.5,-0.026926640360232512,0.0,0.026926640360232512
56,2022-02-12,2022-02-19,4560.0,2918.34,0.017044617749580215,0.0,2764.5,-0.017044617749580215,0.0,0.017044617749580215
57,2022-02-12,2022-02-19,4620.0,2918.34,0.01072546305097638,0.0,2764.5,-0.01072546305097638,0.0,0.01072546305097638
58,2022-02-12,2022-02-19,4680.0,2918.34,0.006710883772576198,0.0,2764.5,-0.006710883772576198,0.0,0.006710883772576198
