,sdate,edate,strike,spot,soptprice,eoptprice,endethprice,buyerprofit,oppcost,truelpprofit
0,2020-11-14,2020-11-21,170.0,461.03,293.9070207834857,382.26,552.26,88.35297921651431,91.23000000000002,2.8770207834857047
1,2020-11-14,2020-11-21,180.0,461.03,284.0762573001613,372.26,552.26,88.18374269983872,91.23000000000002,3.046257300161301
2,2020-11-14,2020-11-21,190.0,461.03,274.24549381683687,362.26,552.26,88.01450618316312,91.23000000000002,3.215493816836897
3,2020-11-14,2020-11-21,200.0,461.03,264.41473033351264,352.26,552.26,87.84526966648735,91.23000000000002,3.384730333512664
4,2020-11-14,2020-11-21,210.0,461.03,254.58396685019085,342.26,552.26,87.67603314980914,91.23000000000002,3.553966850190875
5,2020-11-14,2020-11-21,220.0,461.03,244.75320336691618,332.26,552.26,87.50679663308381,91.23000000000002,3.7232033669162092
6,2020-11-14,2020-11-21,230.0,461.03,234.92243988431568,322.26,552.26,87.33756011568431,91.23000000000002,3.8924398843157064
7,2020-11-14,2020-11-21,240.0,461.03,225.0916764091433,312.26,552.26,87.16832359085669,91.23000000000002,4.061676409143331
8,2020-11-14,2020-11-21,250.0,461.03,215.2609129987191,302.26,552.26,86.99908700128088,91.23000000000002,4.230912998719134
9,2020-11-14,2020-11-21,260.0,461.03,205.43015004530224,292.26,552.26,86.82984995469775,91.23000000000002,4.400150045302269
10,2020-11-14,2020-11-21,270.0,461.03,195.59938975713715,282.26,552.26,86.66061024286284,91.23000000000002,4.5693897571371735
11,2020-11-14,2020-11-21,280.0,461.03,185.7686425422267,272.26,552.26,86.49135745777329,91.23000000000002,4.738642542226728
12,2020-11-14,2020-11-21,290.0,461.03,175.93795011212683,262.26,552.26,86.32204988787316,91.23000000000002,4.907950112126855
13,2020-11-14,2020-11-21,300.0,461.03,166.10745656184474,252.26,552.26,86.15254343815525,91.23000000000002,5.07745656184477
14,2020-11-14,2020-11-21,310.0,461.03,156.27759619626875,242.26,552.26,85.98240380373124,91.23000000000002,5.247596196268773
15,2020-11-14,2020-11-21,320.0,461.03,146.44952337559613,232.26,552.26,85.81047662440386,91.23000000000002,5.419523375596157
16,2020-11-14,2020-11-21,330.0,461.03,136.62596960049586,222.26,552.26,85.63403039950413,91.23000000000002,5.595969600495891
17,2020-11-14,2020-11-21,340.0,461.03,126.81273723179459,212.26,552.26,85.4472627682054,91.23000000000002,5.782737231794613
18,2020-11-14,2020-11-21,350.0,461.03,117.02097277451219,202.26,552.26,85.2390272254878,91.23000000000002,5.990972774512215
19,2020-11-14,2020-11-21,360.0,461.03,107.27016449193707,192.26,552.26,84.98983550806292,91.23000000000002,6.240164491937094
