,sdate,edate,strike,spot,soptprice,eoptprice,endethprice,buyerprofit,oppcost,truelpprofit
0,2021-11-13,2021-11-20,1200.0,4645.64,3481.4562625083845,3215.7200000000003,4415.72,-265.73626250838424,0.0,35.81626250838417
1,2021-11-13,2021-11-20,1320.0,4645.64,3365.0378887592233,3095.7200000000003,4415.72,-269.317888759223,0.0,39.39788875922295
2,2021-11-13,2021-11-20,1440.0,4645.64,3248.619515010062,2975.7200000000003,4415.72,-272.8995150100618,0.0,42.97951501006173
3,2021-11-13,2021-11-20,1560.0,4645.64,3132.2011412609036,2855.7200000000003,4415.72,-276.4811412609033,0.0,46.56114126090324
4,2021-11-13,2021-11-20,1680.0,4645.64,3015.7827675118515,2735.7200000000003,4415.72,-280.06276751185123,0.0,50.14276751185116
5,2021-11-13,2021-11-20,1800.0,4645.64,2899.3643937654315,2615.7200000000003,4415.72,-283.64439376543123,0.0,53.72439376543116
6,2021-11-13,2021-11-20,1920.0,4645.64,2782.946020062287,2495.7200000000003,4415.72,-287.2260200622868,0.0,57.306020062286734
7,2021-11-13,2021-11-20,2040.0,4645.64,2666.527646864946,2375.7200000000003,4415.72,-290.8076468649456,0.0,60.88764686494551
8,2021-11-13,2021-11-20,2160.0,4645.64,2550.1092780735335,2255.7200000000003,4415.72,-294.3892780735332,0.0,64.46927807353313
9,2021-11-13,2021-11-20,2280.0,4645.64,2433.690939022803,2135.7200000000003,4415.72,-297.97093902280267,0.0,68.0509390228026
10,2021-11-13,2021-11-20,2400.0,4645.64,2317.2727606676194,2015.7200000000003,4415.72,-301.55276066761917,0.0,71.6327606676191
11,2021-11-13,2021-11-20,2520.0,4645.64,2200.8552964963264,1895.7200000000003,4415.72,-305.1352964963262,0.0,75.21529649632612
12,2021-11-13,2021-11-20,2640.0,4645.64,2084.4405038647783,1775.7200000000003,4415.72,-308.72050386477804,0.0,78.80050386477797
13,2021-11-13,2021-11-20,2760.0,4645.64,1968.0342889231001,1655.7200000000003,4415.72,-312.31428892309987,0.0,82.3942889230998
14,2021-11-13,2021-11-20,2880.0,4645.64,1851.652113914734,1535.7200000000003,4415.72,-315.9321139147337,0.0,86.01211391473362
15,2021-11-13,2021-11-20,3000.0,4645.64,1735.3296070347146,1415.7200000000003,4415.72,-319.6096070347144,0.0,89.6896070347143
16,2021-11-13,2021-11-20,3120.0,4645.64,1619.1399165971798,1295.7200000000003,4415.72,-323.4199165971795,0.0,93.49991659717944
17,2021-11-13,2021-11-20,3240.0,4645.64,1503.2182739142972,1175.7200000000003,4415.72,-327.498273914297,0.0,97.57827391429691
18,2021-11-13,2021-11-20,3360.0,4645.64,1387.7918304763484,1055.7200000000003,4415.72,-332.07183047634817,0.0,102.1518304763481
19,2021-11-13,2021-11-20,3480.0,4645.64,1273.2099018426206,935.7200000000003,4415.72,-337.4899018426204,0.0,107.56990184262031
20,2021-11-13,2021-11-20,3600.0,4645.64,1159.9673887450508,815.7200000000003,4415.72,-344.24738874505056,0.0,114.32738874505048
21,2021-11-13,2021-11-20,3720.0,4645.64,1048.7135145455495,695.7200000000003,4415.72,-352.99351454554926,0.0,123.07351454554919
22,2021-11-13,2021-11-20,3840.0,4645.64,940.2397530104795,575.7200000000003,4415.72,-364.51975301047923,0.0,134.59975301047916
23,2021-11-13,2021-11-20,3960.0,4645.64,835.44467564054,455.72000000000025,4415.72,-379.7246756405398,0.0,149.8046756405397
24,2021-11-13,2021-11-20,4080.0,4645.64,735.2783576043926,335.72000000000025,4415.72,-399.5583576043923,0.0,169.63835760439224
25,2021-11-13,2021-11-20,4200.0,4645.64,640.6734920861295,215.72000000000025,4415.72,-424.95349208612924,0.0,195.03349208612917
26,2021-11-13,2021-11-20,4320.0,4645.64,552.4731996999703,95.72000000000025,4415.72,-456.7531996999701,0.0,226.83319969997
27,2021-11-13,2021-11-20,4440.0,4645.64,471.36601831937105,0.0,4415.72,-471.36601831937105,0.0,447.0860183193713
28,2021-11-13,2021-11-20,4560.0,4645.64,397.8368058803808,0.0,4415.72,-397.8368058803808,0.0,253.55680588038103
29,2021-11-13,2021-11-20,4680.0,4645.64,332.1389735568582,0.0,4415.72,-332.1389735568582,0.0,332.1389735568582
30,2021-11-13,2021-11-20,4800.0,4645.64,274.2895636739563,0.0,4415.72,-274.2895636739563,0.0,274.2895636739563
31,2021-11-13,2021-11-20,4920.0,4645.64,224.0851231543229,0.0,4415.72,-224.0851231543229,0.0,224.0851231543229
32,2021-11-13,2021-11-20,5040.0,4645.64,181.13374558487817,0.0,4415.72,-181.13374558487817,0.0,181.13374558487817
33,2021-11-13,2021-11-20,5160.0,4645.64,144.8973383998973,0.0,4415.72,-144.8973383998973,0.0,144.8973383998973
34,2021-11-13,2021-11-20,5280.0,4645.64,114.73805620325857,0.0,4415.72,-114.73805620325857,0.0,114.73805620325857
35,2021-11-13,2021-11-20,5400.0,4645.64,89.96364251803993,0.0,4415.72,-89.96364251803993,0.0,89.96364251803993
36,2021-11-13,2021-11-20,5520.0,4645.64,69.86776169728898,0.0,4415.72,-69.86776169728898,0.0,69.86776169728898
37,2021-11-13,2021-11-20,5640.0,4645.64,53.76291642785259,0.0,4415.72,-53.76291642785259,0.0,53.76291642785259
38,2021-11-13,2021-11-20,5760.0,4645.64,41.004952866118856,0.0,4415.72,-41.004952866118856,0.0,41.004952866118856
39,2021-11-13,2021-11-20,5880.0,4645.64,31.00928220295515,0.0,4415.72,-31.00928220295515,0.0,31.00928220295515
40,2021-11-13,2021-11-20,6000.0,4645.64,23.25972422967061,0.0,4415.72,-23.25972422967061,0.0,23.25972422967061
41,2021-11-13,2021-11-20,6120.0,4645.64,17.311313578832994,0.0,4415.72,-17.311313578832994,0.0,17.311313578832994
42,2021-11-13,2021-11-20,6240.0,4645.64,12.788559483695735,0.0,4415.72,-12.788559483695735,0.0,12.788559483695735
