,sdate,edate,strike,spot,soptprice,eoptprice,endethprice,buyerprofit,oppcost,truelpprofit
0,2020-10-10,2020-10-17,80.0,370.88,292.08291925909555,288.53,368.53,-3.5529192590955745,0.0,1.2029192590955518
1,2020-10-10,2020-10-17,90.0,370.88,282.23328416648246,278.53,368.53,-3.70328416648249,0.0,1.3532841664824673
2,2020-10-10,2020-10-17,100.0,370.88,272.3836490738694,268.53,368.53,-3.8536490738694056,0.0,1.5036490738693828
3,2020-10-10,2020-10-17,110.0,370.88,262.53401398125635,258.53,368.53,-4.004013981256378,0.0,1.6540139812563552
4,2020-10-10,2020-10-17,120.0,370.88,252.6843788886433,248.52999999999997,368.53,-4.154378888643322,0.0,1.8043788886432992
5,2020-10-10,2020-10-17,130.0,370.88,242.83474379603024,238.52999999999997,368.53,-4.304743796030266,0.0,1.9547437960302432
6,2020-10-10,2020-10-17,140.0,370.88,232.98510870341718,228.52999999999997,368.53,-4.45510870341721,0.0,2.105108703417187
7,2020-10-10,2020-10-17,150.0,370.88,223.13547361080413,218.52999999999997,368.53,-4.605473610804154,0.0,2.255473610804131
8,2020-10-10,2020-10-17,160.0,370.88,213.28583851819107,208.52999999999997,368.53,-4.755838518191098,0.0,2.405838518191075
9,2020-10-10,2020-10-17,170.0,370.88,203.43620342557804,198.52999999999997,368.53,-4.90620342557807,0.0,2.5562034255780475
10,2020-10-10,2020-10-17,180.0,370.88,193.58656833296507,188.52999999999997,368.53,-5.056568332965099,0.0,2.7065683329650767
11,2020-10-10,2020-10-17,190.0,370.88,183.73693324035946,178.52999999999997,368.53,-5.20693324035949,0.0,2.856933240359467
12,2020-10-10,2020-10-17,200.0,370.88,173.88729814802699,168.52999999999997,368.53,-5.357298148027013,0.0,3.0072981480269902
13,2020-10-10,2020-10-17,210.0,370.88,164.03766306234434,158.52999999999997,368.53,-5.507663062344363,0.0,3.1576630623443407
14,2020-10-10,2020-10-17,220.0,370.88,154.18802808779395,148.52999999999997,368.53,-5.65802808779398,0.0,3.308028087793957
15,2020-10-10,2020-10-17,230.0,370.88,144.33839444319293,138.52999999999997,368.53,-5.808394443192952,0.0,3.4583944431929297
16,2020-10-10,2020-10-17,240.0,370.88,134.48877261514178,128.52999999999997,368.53,-5.958772615141811,0.0,3.6087726151417883
17,2020-10-10,2020-10-17,250.0,370.88,124.6392312002815,118.52999999999997,368.53,-6.109231200281528,0.0,3.759231200281505
18,2020-10-10,2020-10-17,260.0,370.88,114.79012038410843,108.52999999999997,368.53,-6.260120384108461,0.0,3.9101203841084384
19,2020-10-10,2020-10-17,270.0,370.88,104.94286720421894,98.52999999999997,368.53,-6.412867204218969,0.0,4.062867204218946
20,2020-10-10,2020-10-17,280.0,370.88,95.10220528937793,88.52999999999997,368.53,-6.572205289377962,0.0,4.222205289377939
21,2020-10-10,2020-10-17,290.0,370.88,85.28113225279674,78.52999999999997,368.53,-6.751132252796765,0.0,4.401132252796742
22,2020-10-10,2020-10-17,300.0,370.88,75.50961408635061,68.52999999999997,368.53,-6.979614086350637,0.0,4.629614086350614
23,2020-10-10,2020-10-17,310.0,370.88,65.84634419338175,58.52999999999997,368.53,-7.316344193381781,0.0,4.966344193381758
24,2020-10-10,2020-10-17,320.0,370.88,56.38987883507741,48.52999999999997,368.53,-7.8598788350774385,0.0,5.509878835077416
25,2020-10-10,2020-10-17,330.0,370.88,47.28292672730663,38.52999999999997,368.53,-8.752926727306658,0.0,6.402926727306635
26,2020-10-10,2020-10-17,340.0,370.88,38.70390921210503,28.529999999999973,368.53,-10.173909212105059,0.0,7.823909212105036
27,2020-10-10,2020-10-17,350.0,370.88,30.844191043675323,18.529999999999973,368.53,-12.31419104367535,0.0,9.964191043675328
28,2020-10-10,2020-10-17,360.0,370.88,23.87584379116666,8.529999999999973,368.53,-15.345843791166686,0.0,12.995843791166664
29,2020-10-10,2020-10-17,370.0,370.88,17.919740398158325,0.0,368.53,-17.919740398158325,0.0,16.44974039815827
30,2020-10-10,2020-10-17,380.0,370.88,13.02421086773785,0.0,368.53,-13.02421086773785,0.0,13.02421086773785
31,2020-10-10,2020-10-17,390.0,370.88,9.160264245648165,0.0,368.53,-9.160264245648165,0.0,9.160264245648165
32,2020-10-10,2020-10-17,400.0,370.88,6.233039089589596,0.0,368.53,-6.233039089589596,0.0,6.233039089589596
33,2020-10-10,2020-10-17,410.0,370.88,4.103954021843791,0.0,368.53,-4.103954021843791,0.0,4.103954021843791
34,2020-10-10,2020-10-17,420.0,370.88,2.615983699893725,0.0,368.53,-2.615983699893725,0.0,2.615983699893725
35,2020-10-10,2020-10-17,430.0,370.88,1.6155785238482991,0.0,368.53,-1.6155785238482991,0.0,1.6155785238482991
36,2020-10-10,2020-10-17,440.0,370.88,0.9675980228804413,0.0,368.53,-0.9675980228804413,0.0,0.9675980228804413
37,2020-10-10,2020-10-17,450.0,370.88,0.5626101605457912,0.0,368.53,-0.5626101605457912,0.0,0.5626101605457912
38,2020-10-10,2020-10-17,460.0,370.88,0.3179627482522651,0.0,368.53,-0.3179627482522651,0.0,0.3179627482522651
39,2020-10-10,2020-10-17,470.0,370.88,0.17487753850624888,0.0,368.53,-0.17487753850624888,0.0,0.17487753850624888
40,2020-10-10,2020-10-17,480.0,370.88,0.09371828025883566,0.0,368.53,-0.09371828025883566,0.0,0.09371828025883566
41,2020-10-10,2020-10-17,490.0,370.88,0.048999467677630415,0.0,368.53,-0.048999467677630415,0.0,0.048999467677630415
42,2020-10-10,2020-10-17,500.0,370.88,0.02502495793065518,0.0,368.53,-0.02502495793065518,0.0,0.02502495793065518
43,2020-10-10,2020-10-17,510.0,370.88,0.012499631991941762,0.0,368.53,-0.012499631991941762,0.0,0.012499631991941762
44,2020-10-10,2020-10-17,520.0,370.88,0.006113290598973642,0.0,368.53,-0.006113290598973642,0.0,0.006113290598973642
45,2020-10-10,2020-10-17,530.0,370.88,0.0029309035199204664,0.0,368.53,-0.0029309035199204664,0.0,0.0029309035199204664
46,2020-10-10,2020-10-17,540.0,370.88,0.0013789625462818922,0.0,368.53,-0.0013789625462818922,0.0,0.0013789625462818922
47,2020-10-10,2020-10-17,550.0,370.88,0.000637358594401824,0.0,368.53,-0.000637358594401824,0.0,0.000637358594401824
