,sdate,edate,strike,spot,soptprice,eoptprice,endethprice,buyerprofit,oppcost,truelpprofit
0,2021-06-19,2021-06-26,420.0,2166.61,1758.1285545475992,1410.94,1830.94,-347.1885545475991,0.0,11.518554547599024
1,2021-06-19,2021-06-26,480.0,2166.61,1699.7740623401132,1350.94,1830.94,-348.8340623401132,0.0,13.164062340113105
2,2021-06-19,2021-06-26,540.0,2166.61,1641.4195701326275,1290.94,1830.94,-350.4795701326275,0.0,14.809570132627414
3,2021-06-19,2021-06-26,600.0,2166.61,1583.0650779251418,1230.94,1830.94,-352.1250779251418,0.0,16.455077925141723
4,2021-06-19,2021-06-26,660.0,2166.61,1524.7105857176557,1170.94,1830.94,-353.77058571765565,0.0,18.100585717655576
5,2021-06-19,2021-06-26,720.0,2166.61,1466.3560935101698,1110.94,1830.94,-355.41609351016973,0.0,19.746093510169658
6,2021-06-19,2021-06-26,780.0,2166.61,1408.001601302687,1050.94,1830.94,-357.061601302687,0.0,21.391601302686922
7,2021-06-19,2021-06-26,840.0,2166.61,1349.6471090953387,990.94,1830.94,-358.70710909533864,0.0,23.037109095338565
8,2021-06-19,2021-06-26,900.0,2166.61,1291.2926168916322,930.94,1830.94,-360.3526168916321,0.0,24.68261689163205
9,2021-06-19,2021-06-26,960.0,2166.61,1232.938124752324,870.94,1830.94,-361.998124752324,0.0,26.3281247523239
10,2021-06-19,2021-06-26,1020.0,2166.61,1174.5836334049786,810.94,1830.94,-363.6436334049786,0.0,27.9736334049785
11,2021-06-19,2021-06-26,1080.0,2166.61,1116.2291491828369,750.94,1830.94,-365.2891491828368,0.0,29.619149182836736
12,2021-06-19,2021-06-26,1140.0,2166.61,1057.8747138545502,690.94,1830.94,-366.9347138545502,0.0,31.26471385455011
13,2021-06-19,2021-06-26,1200.0,2166.61,999.5205434461775,630.94,1830.94,-368.58054344617744,0.0,32.91054344617737
14,2021-06-19,2021-06-26,1260.0,2166.61,941.1675398244004,570.94,1830.94,-370.2275398244003,0.0,34.55753982440024
15,2021-06-19,2021-06-26,1320.0,2166.61,882.8188172567056,510.94000000000005,1830.94,-371.8788172567056,0.0,36.208817256705515
16,2021-06-19,2021-06-26,1380.0,2166.61,824.4834568511517,450.94000000000005,1830.94,-373.54345685115163,0.0,37.87345685115156
17,2021-06-19,2021-06-26,1440.0,2166.61,766.1842171488727,390.94000000000005,1830.94,-375.2442171488726,0.0,39.57421714887255
18,2021-06-19,2021-06-26,1500.0,2166.61,707.97085941712,330.94000000000005,1830.94,-377.0308594171199,0.0,41.360859417119855
19,2021-06-19,2021-06-26,1560.0,2166.61,649.9395269474057,270.94000000000005,1830.94,-378.9995269474057,0.0,43.32952694740561
20,2021-06-19,2021-06-26,1620.0,2166.61,592.2561398010125,210.94000000000005,1830.94,-381.31613980101247,0.0,45.646139801012396
21,2021-06-19,2021-06-26,1680.0,2166.61,535.1787502154968,150.94000000000005,1830.94,-384.2387502154968,0.0,48.56875021549672
22,2021-06-19,2021-06-26,1740.0,2166.61,479.0716534207502,90.94000000000005,1830.94,-388.1316534207501,0.0,52.461653420750054
23,2021-06-19,2021-06-26,1800.0,2166.61,424.4041433387231,30.940000000000055,1830.94,-393.46414333872303,0.0,57.79414333872296
24,2021-06-19,2021-06-26,1860.0,2166.61,371.72965463076775,0.0,1830.94,-371.72965463076775,0.0,342.6696546307678
25,2021-06-19,2021-06-26,1920.0,2166.61,321.6458877682303,0.0,1830.94,-321.6458877682303,0.0,232.58588776823035
26,2021-06-19,2021-06-26,1980.0,2166.61,274.7416687808834,0.0,1830.94,-274.7416687808834,0.0,125.68166878088346
27,2021-06-19,2021-06-26,2040.0,2166.61,231.53991391543627,0.0,1830.94,-231.53991391543627,0.0,22.479913915436327
28,2021-06-19,2021-06-26,2100.0,2166.61,192.44699961615038,0.0,1830.94,-192.44699961615038,0.0,-76.61300038384957
29,2021-06-19,2021-06-26,2160.0,2166.61,157.71700732570548,0.0,1830.94,-157.71700732570548,0.0,-171.34299267429446
