,sdate,edate,strike,spot,soptprice,eoptprice,endethprice,buyerprofit,oppcost,truelpprofit
0,2021-01-30,2021-02-06,510.0,1379.35,880.0920610493176,1169.14,1679.14,289.04793895068246,299.7900000000002,10.742061049317726
1,2021-01-30,2021-02-06,540.0,1379.35,850.724173432135,1139.14,1679.14,288.4158265678651,299.7900000000002,11.37417343213508
2,2021-01-30,2021-02-06,570.0,1379.35,821.3567463994825,1109.14,1679.14,287.7832536005176,299.7900000000002,12.006746399482608
3,2021-01-30,2021-02-06,600.0,1379.35,791.9904781514589,1079.14,1679.14,287.1495218485412,299.7900000000002,12.640478151458979
4,2021-01-30,2021-02-06,630.0,1379.35,762.6268495477307,1049.14,1679.14,286.51315045226943,299.7900000000002,13.276849547730762
5,2021-01-30,2021-02-06,660.0,1379.35,733.2687299186838,1019.1400000000001,1679.14,285.8712700813163,299.7900000000002,13.91872991868388
6,2021-01-30,2021-02-06,690.0,1379.35,703.9212501371522,989.1400000000001,1679.14,285.21874986284786,299.7900000000002,14.571250137152333
7,2021-01-30,2021-02-06,720.0,1379.35,674.5929509031943,959.1400000000001,1679.14,284.54704909680584,299.7900000000002,15.242950903194355
8,2021-01-30,2021-02-06,750.0,1379.35,645.2971638640777,929.1400000000001,1679.14,283.8428361359224,299.7900000000002,15.947163864077766
9,2021-01-30,2021-02-06,780.0,1379.35,616.0535270242444,899.1400000000001,1679.14,283.08647297575567,299.7900000000002,16.703527024244522
10,2021-01-30,2021-02-06,810.0,1379.35,586.889486344755,869.1400000000001,1679.14,282.2505136552451,299.7900000000002,17.53948634475512
11,2021-01-30,2021-02-06,840.0,1379.35,557.8416043972418,839.1400000000001,1679.14,281.2983956027583,299.7900000000002,18.491604397241872
12,2021-01-30,2021-02-06,870.0,1379.35,528.9564924683975,809.1400000000001,1679.14,280.1835075316026,299.7900000000002,19.60649246839762
13,2021-01-30,2021-02-06,900.0,1379.35,500.291206812999,779.1400000000001,1679.14,278.8487931870011,299.7900000000002,20.9412068129991
14,2021-01-30,2021-02-06,930.0,1379.35,471.91299900255854,749.1400000000001,1679.14,277.22700099744156,299.7900000000002,22.562999002558627
15,2021-01-30,2021-02-06,960.0,1379.35,443.89837603313276,719.1400000000001,1679.14,275.24162396686734,299.7900000000002,24.548376033132854
16,2021-01-30,2021-02-06,990.0,1379.35,416.33149719343487,689.1400000000001,1679.14,272.80850280656523,299.7900000000002,26.98149719343496
