,sdate,edate,strike,spot,soptprice,eoptprice,endethprice,buyerprofit,oppcost,truelpprofit
0,2021-09-04,2021-09-11,2160.0,3887.01,1781.4101069549283,1106.4299999999998,3266.43,-674.9801069549285,0.0,54.400106954928106
1,2021-09-04,2021-09-11,2220.0,3887.01,1722.9237563134088,1046.4299999999998,3266.43,-676.493756313409,0.0,55.91375631340861
2,2021-09-04,2021-09-11,2280.0,3887.01,1664.440197604251,986.4299999999998,3266.43,-678.0101976042511,0.0,57.43019760425068
3,2021-09-04,2021-09-11,2340.0,3887.01,1605.9619082599115,926.4299999999998,3266.43,-679.5319082599117,0.0,58.951908259911306
4,2021-09-04,2021-09-11,2400.0,3887.01,1547.4931129420997,866.4299999999998,3266.43,-681.0631129420999,0.0,60.483112942099524
5,2021-09-04,2021-09-11,2460.0,3887.01,1489.0406973740728,806.4299999999998,3266.43,-682.610697374073,0.0,62.03069737407259
6,2021-09-04,2021-09-11,2520.0,3887.01,1430.6154176506916,746.4299999999998,3266.43,-684.1854176506918,0.0,63.60541765069138
7,2021-09-04,2021-09-11,2580.0,3887.01,1372.2334165579314,686.4299999999998,3266.43,-685.8034165579315,0.0,65.22341655793116
8,2021-09-04,2021-09-11,2640.0,3887.01,1313.9180229251947,626.4299999999998,3266.43,-687.4880229251949,0.0,66.90802292519447
9,2021-09-04,2021-09-11,2700.0,3887.01,1255.7017662731573,566.4299999999998,3266.43,-689.2717662731575,0.0,68.6917662731571
10,2021-09-04,2021-09-11,2760.0,3887.01,1197.6284922217842,506.42999999999984,3266.43,-691.1984922217844,0.0,70.61849222178398
11,2021-09-04,2021-09-11,2820.0,3887.01,1139.75542114788,446.42999999999984,3266.43,-693.3254211478802,0.0,72.74542114787982
12,2021-09-04,2021-09-11,2880.0,3887.01,1082.1549607889133,386.42999999999984,3266.43,-695.7249607889134,0.0,75.14496078891307
13,2021-09-04,2021-09-11,2940.0,3887.01,1024.9160693712738,326.42999999999984,3266.43,-698.486069371274,0.0,77.90606937127359
14,2021-09-04,2021-09-11,3000.0,3887.01,968.1449737389307,266.42999999999984,3266.43,-701.7149737389309,0.0,81.13497373893051
15,2021-09-04,2021-09-11,3060.0,3887.01,911.9650781561218,206.42999999999984,3266.43,-705.5350781561219,0.0,84.95507815612154
16,2021-09-04,2021-09-11,3120.0,3887.01,856.5159518383889,146.42999999999984,3266.43,-710.0859518383891,0.0,89.50595183838868
17,2021-09-04,2021-09-11,3180.0,3887.01,801.9513515942608,86.42999999999984,3266.43,-715.521351594261,0.0,94.9413515942606
18,2021-09-04,2021-09-11,3240.0,3887.01,748.4363127069446,26.429999999999836,3266.43,-722.0063127069448,0.0,101.42631270694437
19,2021-09-04,2021-09-11,3300.0,3887.01,696.1434177129654,0.0,3266.43,-696.1434177129654,0.0,662.5734177129652
20,2021-09-04,2021-09-11,3360.0,3887.01,645.2484205906376,0.0,3266.43,-645.2484205906376,0.0,551.6784205906374
21,2021-09-04,2021-09-11,3420.0,3887.01,595.925455963687,0.0,3266.43,-595.925455963687,0.0,442.35545596368684
22,2021-09-04,2021-09-11,3480.0,3887.01,548.3420943882234,0.0,3266.43,-548.3420943882234,0.0,334.7720943882232
23,2021-09-04,2021-09-11,3540.0,3887.01,502.6545134367525,0.0,3266.43,-502.6545134367525,0.0,229.08451343675233
24,2021-09-04,2021-09-11,3600.0,3887.01,459.00304063291424,0.0,3266.43,-459.00304063291424,0.0,125.43304063291407
25,2021-09-04,2021-09-11,3660.0,3887.01,417.5082911858826,0.0,3266.43,-417.5082911858826,0.0,23.938291185882463
26,2021-09-04,2021-09-11,3720.0,3887.01,378.2680755174997,0.0,3266.43,-378.2680755174997,0.0,-75.30192448250045
27,2021-09-04,2021-09-11,3780.0,3887.01,341.35519434646994,0.0,3266.43,-341.35519434646994,0.0,-172.21480565353022
28,2021-09-04,2021-09-11,3840.0,3887.01,306.8161783990031,0.0,3266.43,-306.8161783990031,0.0,-266.75382160099707
29,2021-09-04,2021-09-11,3900.0,3887.01,274.67097103051447,0.0,3266.43,-274.67097103051447,0.0,274.67097103051447
30,2021-09-04,2021-09-11,3960.0,3887.01,244.91349961850938,0.0,3266.43,-244.91349961850938,0.0,244.91349961850938
31,2021-09-04,2021-09-11,4020.0,3887.01,217.51303874647488,0.0,3266.43,-217.51303874647488,0.0,217.51303874647488
32,2021-09-04,2021-09-11,4080.0,3887.01,192.41623683164516,0.0,3266.43,-192.41623683164516,0.0,192.41623683164516
33,2021-09-04,2021-09-11,4140.0,3887.01,169.54965856721856,0.0,3266.43,-169.54965856721856,0.0,169.54965856721856
34,2021-09-04,2021-09-11,4200.0,3887.01,148.82268786486998,0.0,3266.43,-148.82268786486998,0.0,148.82268786486998
35,2021-09-04,2021-09-11,4260.0,3887.01,130.1306385655771,0.0,3266.43,-130.1306385655771,0.0,130.1306385655771
36,2021-09-04,2021-09-11,4320.0,3887.01,113.35793114594526,0.0,3266.43,-113.35793114594526,0.0,113.35793114594526
37,2021-09-04,2021-09-11,4380.0,3887.01,98.38121081140866,0.0,3266.43,-98.38121081140866,0.0,98.38121081140866
38,2021-09-04,2021-09-11,4440.0,3887.01,85.07230352451393,0.0,3266.43,-85.07230352451393,0.0,85.07230352451393
39,2021-09-04,2021-09-11,4500.0,3887.01,73.30092960387924,0.0,3266.43,-73.30092960387924,0.0,73.30092960387924
40,2021-09-04,2021-09-11,4560.0,3887.01,62.93711776843952,0.0,3266.43,-62.93711776843952,0.0,62.93711776843952
41,2021-09-04,2021-09-11,4620.0,3887.01,53.85328447282336,0.0,3266.43,-53.85328447282336,0.0,53.85328447282336
42,2021-09-04,2021-09-11,4680.0,3887.01,45.92596305083748,0.0,3266.43,-45.92596305083748,0.0,45.92596305083748
43,2021-09-04,2021-09-11,4740.0,3887.01,39.037183897618604,0.0,3266.43,-39.037183897618604,0.0,39.037183897618604
44,2021-09-04,2021-09-11,4800.0,3887.01,33.075520355088884,0.0,3266.43,-33.075520355088884,0.0,33.075520355088884
45,2021-09-04,2021-09-11,4860.0,3887.01,27.936825076598723,0.0,3266.43,-27.936825076598723,0.0,27.936825076598723
46,2021-09-04,2021-09-11,4920.0,3887.01,23.524688606406812,0.0,3266.43,-23.524688606406812,0.0,23.524688606406812
47,2021-09-04,2021-09-11,4980.0,3887.01,19.75065603967937,0.0,3266.43,-19.75065603967937,0.0,19.75065603967937
48,2021-09-04,2021-09-11,5040.0,3887.01,16.534239342611414,0.0,3266.43,-16.534239342611414,0.0,16.534239342611414
49,2021-09-04,2021-09-11,5100.0,3887.01,13.80276266525334,0.0,3266.43,-13.80276266525334,0.0,13.80276266525334
50,2021-09-04,2021-09-11,5160.0,3887.01,11.491076228790092,0.0,3266.43,-11.491076228790092,0.0,11.491076228790092
51,2021-09-04,2021-09-11,5220.0,3887.01,9.541171544112274,0.0,3266.43,-9.541171544112274,0.0,9.541171544112274
52,2021-09-04,2021-09-11,5280.0,3887.01,7.901727202325304,0.0,3266.43,-7.901727202325304,0.0,7.901727202325304
53,2021-09-04,2021-09-11,5340.0,3887.01,6.527610595405818,0.0,3266.43,-6.527610595405818,0.0,6.527610595405818
54,2021-09-04,2021-09-11,5400.0,3887.01,5.3793569394626815,0.0,3266.43,-5.3793569394626815,0.0,5.3793569394626815
55,2021-09-04,2021-09-11,5460.0,3887.01,4.42264308607578,0.0,3266.43,-4.42264308607578,0.0,4.42264308607578
56,2021-09-04,2021-09-11,5520.0,3887.01,3.627769964693826,0.0,3266.43,-3.627769964693826,0.0,3.627769964693826
57,2021-09-04,2021-09-11,5580.0,3887.01,2.9691641974901657,0.0,3266.43,-2.9691641974901657,0.0,2.9691641974901657
58,2021-09-04,2021-09-11,5640.0,3887.01,2.424906522396576,0.0,3266.43,-2.424906522396576,0.0,2.424906522396576
