,sdate,edate,strike,spot,soptprice,eoptprice,endethprice,buyerprofit,oppcost,truelpprofit
0,2020-09-26,2020-10-03,60.0,354.21,294.96466587462714,286.32,346.32,-8.644665874627151,0.0,0.7546658746271646
1,2020-09-26,2020-10-03,70.0,354.21,285.0904435203983,276.32,346.32,-8.770443520398317,0.0,0.8804435203983303
2,2020-09-26,2020-10-03,80.0,354.21,275.2162211661695,266.32,346.32,-8.896221166169482,0.0,1.006221166169496
3,2020-09-26,2020-10-03,90.0,354.21,265.3419988119407,256.32,346.32,-9.021998811940705,0.0,1.1319988119407185
4,2020-09-26,2020-10-03,100.0,354.21,255.46777645771186,246.32,346.32,-9.14777645771187,0.0,1.2577764577118842
5,2020-09-26,2020-10-03,110.0,354.21,245.5935541034831,236.32,346.32,-9.273554103483093,0.0,1.3835541034831067
6,2020-09-26,2020-10-03,120.0,354.21,235.71933174925425,226.32,346.32,-9.399331749254259,0.0,1.5093317492542724
7,2020-09-26,2020-10-03,130.0,354.21,225.84510939502545,216.32,346.32,-9.525109395025453,0.0,1.6351093950254665
8,2020-09-26,2020-10-03,140.0,354.21,215.97088704079664,206.32,346.32,-9.650887040796647,0.0,1.7608870407966606
9,2020-09-26,2020-10-03,150.0,354.21,206.09666468656783,196.32,346.32,-9.776664686567841,0.0,1.8866646865678547
10,2020-09-26,2020-10-03,160.0,354.21,196.22244233233903,186.32,346.32,-9.902442332339035,0.0,2.012442332339049
11,2020-09-26,2020-10-03,170.0,354.21,186.34821997811025,176.32,346.32,-10.028219978110258,0.0,2.1382199781102713
12,2020-09-26,2020-10-03,180.0,354.21,176.47399762388153,166.32,346.32,-10.153997623881537,0.0,2.2639976238815507
13,2020-09-26,2020-10-03,190.0,354.21,166.5997752696639,156.32,346.32,-10.2797752696639,0.0,2.3897752696639145
14,2020-09-26,2020-10-03,200.0,354.21,156.72555291594443,146.32,346.32,-10.40555291594444,0.0,2.515552915944454
15,2020-09-26,2020-10-03,210.0,354.21,146.8513305763616,136.32,346.32,-10.531330576361597,0.0,2.641330576361611
16,2020-09-26,2020-10-03,220.0,354.21,136.97710850221173,126.32,346.32,-10.657108502211742,0.0,2.767108502211755
17,2020-09-26,2020-10-03,230.0,354.21,127.10288988372878,116.32,346.32,-10.782889883728785,0.0,2.892889883728799
18,2020-09-26,2020-10-03,240.0,354.21,117.22870372745754,106.32,346.32,-10.90870372745755,0.0,3.018703727457563
19,2020-09-26,2020-10-03,250.0,354.21,107.35474528076989,96.32,346.32,-11.034745280769897,0.0,3.144745280769911
20,2020-09-26,2020-10-03,260.0,354.21,97.4820155262936,86.32,346.32,-11.162015526293601,0.0,3.2720155262936146
21,2020-09-26,2020-10-03,270.0,354.21,87.61451954554241,76.32,346.32,-11.294519545542414,0.0,3.4045195455424277
22,2020-09-26,2020-10-03,280.0,354.21,77.76502735908338,66.32,346.32,-11.445027359083383,0.0,3.5550273590833967
23,2020-09-26,2020-10-03,290.0,354.21,67.96656055622293,56.31999999999999,346.32,-11.646560556222937,0.0,3.7565605562229507
24,2020-09-26,2020-10-03,300.0,354.21,58.28937077517594,46.31999999999999,346.32,-11.969370775175946,0.0,4.07937077517596
25,2020-09-26,2020-10-03,310.0,354.21,48.85775348522998,36.31999999999999,346.32,-12.537753485229985,0.0,4.647753485229998
26,2020-09-26,2020-10-03,320.0,354.21,39.855759192431265,26.319999999999993,346.32,-13.535759192431271,0.0,5.645759192431285
27,2020-09-26,2020-10-03,330.0,354.21,31.511355676924495,16.319999999999993,346.32,-15.191355676924502,0.0,7.301355676924516
28,2020-09-26,2020-10-03,340.0,354.21,24.057538749281406,6.319999999999993,346.32,-17.737538749281413,0.0,9.847538749281426
29,2020-09-26,2020-10-03,350.0,354.21,17.681795062081022,0.0,346.32,-17.681795062081022,0.0,14.001795062081044
30,2020-09-26,2020-10-03,360.0,354.21,12.483219192862236,0.0,346.32,-12.483219192862236,0.0,12.483219192862236
31,2020-09-26,2020-10-03,370.0,354.21,8.453686585406842,0.0,346.32,-8.453686585406842,0.0,8.453686585406842
32,2020-09-26,2020-10-03,380.0,354.21,5.487979997373671,0.0,346.32,-5.487979997373671,0.0,5.487979997373671
